address,agent_url,description,id,page_number,price,scrape_time,url,beds,latitude,longitude,tenure,travel_time_cw,travel_time_from_strand,travel_time_cp,bedroom_score,tenure_score,price_score,tt_score_cw,tt_score_from_strand,tt_score_cp,total_score
"Winchmore Hill, N21",http://www.rightmove.co.uk/estate-agents/agent/Mortemore-Mackay/London-29709.html,3 bedroom terraced house for sale,82878293,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-82878293.html,3,51.62957,-0.086489,-,32.0,51.0,65.0,5,0,-4.9995,6.5,2.666666666666667,-10.0,-0.8328333333333333
"Hyde Park Avenue, Winchmore Hill",http://www.rightmove.co.uk/estate-agents/agent/Haydens-Town-and-Country/Hertfordshire-10330.html,3 bedroom terraced house for sale,63053268,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-63053268.html,3,51.629699,-0.086242,-,33.0,51.0,65.0,5,0,-4.9995,6.0,2.666666666666667,-10.0,-1.3328333333333333
"Winchmore Hill, N21",http://www.rightmove.co.uk/estate-agents/agent/Mortemore-Mackay/London-29709.html,2 bedroom cottage for sale,83040155,2,699995.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83040155.html,2,51.636376,-0.101377,-,35.0,54.0,67.0,0,0,-4.9995,5.0,0.6666666666666679,-11.0,-10.332833333333333
"Lavenham Road, London",http://www.rightmove.co.uk/estate-agents/agent/Loney-Miller-Limited/London-187115.html,2 bedroom flat for sale,72206539,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72206539.html,2,51.442679999999996,-0.200177,-,53.0,72.0,32.0,0,0,-4.995,-8.0,-22.666666666666664,3.25,-32.41166666666666
"Milles Square, Brixton",http://www.rightmove.co.uk/estate-agents/agent/Kinleigh-Folkard-and-Hayward---Sales/Clapham-55423.html,2 bedroom flat for sale,72248485,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-72248485.html,2,51.462431,-0.11062000000000001,Leasehold,34.0,53.0,20.0,0,0,-4.995,5.5,1.333333333333334,5.0,6.838333333333334
"Lordship Lane, East Dulwich, London, SE22",http://www.rightmove.co.uk/estate-agents/agent/Winkworth/Dulwich-47825.html,3 bedroom apartment for sale,62202648,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-62202648.html,3,51.45085,-0.076456,Leasehold,32.0,45.0,13.0,5,0,-4.995,6.5,6.666666666666667,5.0,18.171666666666667
"Sternhold Avenue, Balham",http://www.rightmove.co.uk/estate-agents/agent/Jacksons-Estate-Agents/Balham-65785.html,3 bedroom flat for sale,83164157,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83164157.html,3,51.440194,-0.133719,-,44.0,55.0,16.0,5,0,-4.995,0.5,0.0,5.0,5.505
Frognal Hampstead Village NW3,http://www.rightmove.co.uk/estate-agents/agent/Heathgate/London-51753.html,2 bedroom flat for sale,83113541,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-83113541.html,2,51.557219,-0.182482,-,47.0,69.0,60.0,0,0,-4.995,-2.0,-18.666666666666664,-7.5,-33.16166666666666
"Stella Road, London, SW17",http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Tooting-61662.html,2 bedroom end of terrace house for sale,71259934,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-71259934.html,2,51.422562,-0.16125499999999998,Freehold,53.0,65.0,22.0,0,3,-4.995,-8.0,-13.333333333333332,5.0,-18.328333333333333
"Tyrrell Road, East Dulwich, SE22",http://www.rightmove.co.uk/estate-agents/agent/Mundays/London-143609.html,2 bedroom flat for sale,82679333,2,699950.0,2019-07-13 07:49:55.797780,http://www.rightmove.co.uk/property-for-sale/property-82679333.html,2,51.458703,-0.069461,Leasehold,29.0,43.0,16.0,0,0,-4.995,8.0,8.0,5.0,16.005
"High Road, Chigwell, IG7",http://www.rightmove.co.uk/estate-agents/agent/Lawlors-Property-Services-Ltd/Chigwell-Sales-31340.html,3 bedroom terraced house for sale,72701158,3,625000.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-72701158.html,3,51.612801,0.065338,-,29.0,46.0,58.0,5,0,0.625,8.0,6.0,-6.5,13.125
"St Cuthberts Road, London, NW2",http://www.rightmove.co.uk/estate-agents/agent/Fraser-and-Co/Paddington-20990.html,2 bedroom maisonette for sale,72846814,3,699950.0,2019-07-13 07:49:56.122224,http://www.rightmove.co.uk/property-for-sale/property-72846814.html,2,51.548986,-0.20525900000000002,Leasehold,51.0,72.0,61.0,0,0,-4.995,-6.0,-22.666666666666664,-8.0,-41.66166666666666
